cx,cy,nameascii,adm0name,adm0_a3
271.651,263.0102,Colonia del Sacramento,Uruguay,URY
273.7384,260.9295,Trinidad,Uruguay,URY
270.6195,260.0292,Fray Bentos,Uruguay,URY
275.11,263.1392,Canelones,Uruguay,URY
275.2634,262.1633,Florida,Uruguay,URY
401.9837,165.7737,Bassar,Togo,TGO
402.4194,167.3387,Sotouboua,Togo,TGO
423.3861,112.1126,Medenine,Tunisia,TUN
420.1723,111.4679,Kebili,Tunisia,TUN
423.4973,113.0018,Tataouine,Tunisia,TUN
422.9044,104.4061,L'Ariana,Tunisia,TUN
419.681,105.2212,Jendouba,Tunisia,TUN
419.607,108.074,Kasserine,Tunisia,TUN
421.3483,108.5186,Sdid Bouzid,Tunisia,TUN
421.0889,106.1476,Siliana,Tunisia,TUN
424.7737,107.48,Mahdia,Tunisia,TUN
424.1655,106.9314,Monastir,Tunisia,TUN
422.7866,105.4435,Zaghouan,Tunisia,TUN
636.1952,161.1899,Tay Ninh,Vietnam,VNM
629.9619,138.0328,Luan Chau,Vietnam,VNM
635.4979,137.1584,Bac Kan,Vietnam,VNM
637.5512,137.7972,Lang Son,Vietnam,VNM
631.2224,138.9487,Son La,Vietnam,VNM
634.1145,137.8594,Tuyen Quang,Vietnam,VNM
633.3676,138.1106,Yen Bai,Vietnam,VNM
636.6043,139.8068,Hai Duong,Vietnam,VNM
636.6088,140.8998,Thai Binh,Vietnam,VNM
643.2399,157.2796,Tuy Hoa,Vietnam,VNM
637.3195,161.9767,Thu Dau Mot,Vietnam,VNM
638.3878,148.9033,Dong Ha,Vietnam,VNM
635.0592,163.0928,Cao Lanh,Vietnam,VNM
636.702,163.6085,Truc Giang,Vietnam,VNM
636.6109,164.2776,Tra Vinh,Vietnam,VNM
635.7884,163.5618,Vinh Long,Vietnam,VNM
636.4642,135.9788,Cao Bang,Vietnam,VNM
206.1835,152.8825,Yoro,Honduras,HND
204.2346,154.4986,La Esperanza,Honduras,HND
205.3076,154.5275,La Paz,Honduras,HND
204.0805,153.1959,Santa Barbara,Honduras,HND
203.3085,153.9422,Gracias,Honduras,HND
201.9775,154.2674,Nueva Ocotepeque,Honduras,HND
207.1594,155.3634,Yuscaran,Honduras,HND
235.464,144.9376,Jeremie,Haiti,HTI
238.3293,142.0525,Port-De-Paix,Haiti,HTI
