scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,min_zoom,ne_id
10,1,8,Admin-1 capital,Colonia del Sacramento,,,0,Colonia del Sacramento,0,0,,0,0,Uruguay,URY,Uruguay,URY,Colonia,UY,,-34.4799990054,-57.8400024734,4,1,Added missing admin-1 capital. Population from GeoNames.,21714,21714,0,7,7,3443013,,,0,0,9,1159112629
10,1,8,Admin-1 capital,Trinidad,,,0,Trinidad,0,0,,0,0,Uruguay,URY,Uruguay,URY,Flores,UY,,-33.5439989374,-56.9009965602,4,1,Added missing admin-1 capital. Population from GeoNames.,21093,21093,0,7,7,3439749,,,0,0,9,1159112647
10,1,8,Admin-1 capital,Fray Bentos,,,0,Fray Bentos,0,0,,0,0,Uruguay,URY,Uruguay,URY,Río Negro,UY,,-33.1389990288,-58.3039974719,4,1,Added missing admin-1 capital. Population from GeoNames.,23279,23279,0,7,7,3442568,,,0,0,9,1159112663
10,1,8,Admin-1 capital,Canelones,,,0,Canelones,0,0,,0,0,Uruguay,URY,Uruguay,URY,Canelones,UY,,-34.5380040067,-56.2840014932,4,1,Added missing admin-1 capital. Population from GeoNames.,19698,19698,0,6,6,3443413,,,0,0,9,1159112679
10,1,8,Admin-1 capital,Florida,,,0,Florida,0,0,,0,0,Uruguay,URY,Uruguay,URY,Florida,UY,,-34.0990020052,-56.214998448,4,1,Added missing admin-1 capital. Population from GeoNames.,32234,32234,0,7,7,3442585,,,0,0,7,1159112703
10,1,8,Admin-1 capital,Bassar,,,0,Bassar,0,0,,0,0,Togo,TGO,Togo,TGO,Kara,TG,,9.26100006832,0.78900357378,4,1,Added missing admin-1 capital. Population from GeoNames.,61845,61845,0,8,8,2367568,,,0,0,9,1159112719
10,1,8,Admin-1 capital,Sotouboua,,,0,Sotouboua,0,0,,0,0,Togo,TGO,Togo,TGO,Centre,TG,,8.55700213306,0.98499646233,4,1,Added missing admin-1 capital. Population from GeoNames.,21054,21054,0,7,7,2364079,,,0,0,7,1159112735
10,1,7,Admin-1 capital,Medenine,,,0,Medenine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,MUdenine,TN,,33.3999990025,10.4166995576,4,1,Added missing admin-1 capital.,61705,61705,0,8,8,-1,,,0,0,6.1,1159112749
10,1,7,Admin-1 capital,Kebili,,,0,Kebili,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Kebili,TN,,33.6899970349,8.9710025379,4,1,Added missing admin-1 capital. Population from GeoNames.,19875,19875,0,6,6,2468018,,,0,0,9,1159112765
10,1,7,Admin-1 capital,Tataouine,,,0,Tataouine,0,0,,0,0,Tunisia,TUN,Tunisia,TUN,Tataouine,TN,,33.0000031543,10.4667035894,4,1,Added missing admin-1 capital. Population from GeoNames.,62577,62577,0,8,8,2464701,,,0,0,9,1159112779
