cx,cy,nameascii,adm0name,adm0_a3
205.25584399999997,94.08004615384615,Faribault,United States of America,USA
203.50052,94.38384615384615,Mankato,United States of America,USA
205.01414,95.61875384615384,Albert Lea,United States of America,USA
200.993624,92.08967692307691,Willmar,United States of America,USA
203.01624800000002,89.1304,Brainerd,United States of America,USA
197.237708,85.74110769230768,Crookston,United States of America,USA
170.816912,90.6296923076923,Hardin,United States of America,USA
177.784208,87.33355384615385,Glendive,United States of America,USA
158.6411,91.86513846153845,Dillon,United States of America,USA
155.10528799999997,85.94636923076922,Polson,United States of America,USA
191.83112,84.93083076923077,Devils Lake,United States of America,USA
155.981168,98.2808,Burley,United States of America,USA
150.85538000000003,86.45823076923077,Wallace,United States of America,USA
143.150552,89.48147692307693,Kennewick,United States of America,USA
133.98675199999997,88.27241538461537,Centralia,United States of America,USA
159.81311599999998,119.71641538461537,Glendale,United States of America,USA
165.78864799999997,121.50744615384615,Safford,United States of America,USA
160.86752,121.39835384615384,Casa Grande,United States of America,USA
160.916876,120.09473846153845,Mesa,United States of America,USA
154.741436,117.52261538461539,Lake Havasu City,United States of America,USA
135.62370799999997,109.4413846153846,Berkeley,United States of America,USA
148.04370799999998,121.89492307692306,National City,United States of America,USA
131.954624,106.0086923076923,Mendocino,United States of America,USA
139.419908,114.82147692307691,Paso Robles,United States of America,USA
147.32334799999998,118.85455384615383,Riverside,United States of America,USA
142.893728,114.49753846153845,Delano,United States of America,USA
135.52316,110.20029230769231,San Mateo,United States of America,USA
135.65524399999998,108.8715846153846,Vallejo,United States of America,USA
171.507896,105.43695384615384,Glenwood Springs,United States of America,USA
177.548876,105.07963076923076,Aurora,United States of America,USA
177.71346799999998,103.34793846153845,Greeley,United States of America,USA
147.72921199999996,108.97916923076922,Tonopah,United States of America,USA
170.47293200000001,122.87858461538461,Deming,United States of America,USA
171.680264,120.78978461538462,Truth or Consequences,United States of America,USA
176.55495200000001,114.89233846153846,Las Vegas,United States of America,USA
169.43980399999998,112.12216923076923,Farmington,United States of America,USA
133.926596,94.65113846153845,Springfield,United States of America,USA
