Name,Team,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/acostme01.shtml"">M. Acosta</a>",WS1,18,85,74,10,19,0,25,4,11,3,18,.257,.353,.338,.691,.339,0.00
"<a href=""https://www.baseball-reference.com/players/a/adamsba01.shtml"">Babe Adams</a>",PIT,32,103,97,8,16,1,23,4,3,0,29,.165,.198,.237,.435,.212,0.05
"<a href=""https://www.baseball-reference.com/players/a/adamsda01.shtml"">Dan Adams</a>",KCF,27,49,46,1,7,1,10,2,2,0,18,.152,.188,.217,.405,.200,-0.09
"<a href=""https://www.baseball-reference.com/players/a/adamska01.shtml"">Karl Adams</a>",CIN,22,2,2,0,1,0,1,0,0,0,0,.500,.500,.500,1.000,.480,0.04
"<a href=""https://www.baseball-reference.com/players/a/adamswi01.shtml"">Willie Adams</a>",PTF,23,15,15,1,1,0,3,0,0,0,0,.067,.067,.200,.267,.119,-0.11
"<a href=""https://www.baseball-reference.com/players/a/aglerjo01.shtml"">Joe Agler</a>",BUF,27,554,463,82,126,0,155,20,77,21,78,.272,.376,.335,.711,.352,0.00
"<a href=""https://www.baseball-reference.com/players/a/agnewsa01.shtml"">Sam Agnew</a>",SLA,27,346,311,22,66,0,79,16,24,10,63,.212,.279,.254,.533,.266,0.76
"<a href=""https://www.baseball-reference.com/players/a/ainsmed01.shtml"">E. Ainsmith</a>",WS1,24,162,151,11,34,0,41,13,9,8,28,.225,.273,.272,.545,.267,0.00
"<a href=""https://www.baseball-reference.com/players/a/aitchra01.shtml"">R. Aitchison</a>",BRO,26,61,51,4,10,0,10,2,7,0,12,.196,.293,.196,.489,.254,0.20
"<a href=""https://www.baseball-reference.com/players/a/alcocsc01.shtml"">S. Alcock</a>",CHA,28,169,156,12,27,0,35,7,7,4,14,.173,.213,.224,.438,.215,-0.74
"<a href=""https://www.baseball-reference.com/players/a/alexape01.shtml"">P. Alexander</a>",PHI,27,143,137,18,32,0,35,7,3,0,12,.234,.255,.255,.511,.248,0.43
"<a href=""https://www.baseball-reference.com/players/a/allenfr01.shtml"">Frank Allen</a>",2,25,58,49,5,7,0,13,7,6,0,23,.143,.236,.265,.502,.210,0.08
"<a href=""https://www.baseball-reference.com/players/a/allenni01.shtml"">Nick Allen</a>",BUF,25,67,63,3,15,0,16,4,3,4,12,.238,.273,.254,.527,.258,-0.21
"<a href=""https://www.baseball-reference.com/players/a/allismi01.shtml"">Milo Allison</a>",CHN,23,1,1,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,.960,0.05
"<a href=""https://www.baseball-reference.com/players/a/amesre01.shtml"">Red Ames</a>",CIN,31,101,94,6,12,1,16,6,2,1,33,.128,.146,.170,.316,.154,0.00
"<a href=""https://www.baseball-reference.com/players/a/anderfr01.shtml"">F. Anderson</a>",BUF,28,93,90,3,17,0,20,5,3,0,32,.189,.215,.222,.437,.213,-0.14
