playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abramge01,1923,1,CIN,NL,3,1,0,1,0,0,0,0,0,0,0,0,,0,0,,
adamsba01,1923,1,PIT,NL,26,55,5,15,5,1,0,8,0,1,6,13,,0,1,,
adamssp01,1923,1,CHN,NL,95,311,40,90,12,0,4,35,20,19,26,10,,1,14,,
adamssp02,1923,1,PIT,NL,25,56,11,14,0,1,0,4,2,1,6,6,,0,0,,
ainsmed01,1923,1,SLN,NL,82,263,22,56,11,6,3,34,4,0,22,19,,1,10,,
ainsmed01,1923,2,BRO,NL,2,10,0,2,0,0,0,2,0,1,0,0,,0,0,,
aldrivi01,1923,1,CHN,NL,30,71,5,19,3,0,0,4,0,0,6,6,,0,5,,
alexape01,1923,1,CHN,NL,39,111,10,24,3,1,1,10,0,0,1,11,,0,7,,
archdma01,1923,1,CHA,AL,22,87,23,35,5,1,0,4,2,3,6,8,,0,1,,
austiji01,1923,1,SLA,AL,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
bagbyji01,1923,1,PIT,NL,21,20,3,1,0,0,0,1,0,0,3,1,,0,2,,
bagwebi01,1923,1,BSN,NL,56,93,8,27,4,2,2,10,0,0,6,12,,0,2,,
bailege01,1923,1,BRO,NL,127,411,71,109,11,7,1,42,9,7,43,34,,6,11,,
bancrda01,1923,1,NY1,NL,107,444,80,135,33,3,1,31,8,7,62,23,,1,6,,
barbetu01,1923,1,BRO,NL,13,46,3,10,2,0,0,8,0,1,2,2,,0,1,,
barfocl01,1923,1,SLN,NL,37,37,1,7,1,0,0,1,0,0,1,10,,0,1,,
barneep01,1923,1,PIT,NL,2,2,0,1,0,0,0,0,0,0,0,1,,0,0,,
barneje01,1923,1,NY1,NL,12,11,0,3,0,0,0,0,0,0,0,2,,0,0,,
barneje01,1923,2,BSN,NL,31,68,2,10,0,0,0,2,0,0,2,6,,0,1,,
barnevi01,1923,1,NY1,NL,22,14,0,0,0,0,0,0,0,0,0,3,,0,0,,
barnhcl01,1923,1,PIT,NL,114,327,60,106,25,13,9,72,5,7,47,21,,0,12,,
barrebi02,1923,1,CHA,AL,44,162,17,44,7,2,2,23,12,3,9,24,,0,5,,
barrebo01,1923,1,CHN,NL,3,3,0,1,0,0,0,0,0,0,0,0,,0,0,,
bassljo01,1923,1,DET,AL,135,383,45,114,12,3,0,49,2,2,76,13,,0,18,,
batchjo01,1923,1,BSN,NL,4,1,0,0,0,0,0,0,0,0,1,0,,0,0,,
baynebi01,1923,1,SLA,AL,19,13,1,3,0,0,0,0,0,0,0,1,,0,2,,
