Name,Tm,Age,PA,AB,R,H,HR,TB,RBI,BB,SB,K,AVG,OBP,SLG,OPS,wOBA,WAR
"<a href=""https://www.baseball-reference.com/players/a/adamsgl01.shtml"">Glenn Adams</a>",MIN,32,287,262,32,75,6,108,38,15,2,26,.286,.320,.412,.732,.326,-0.38
"<a href=""https://www.baseball-reference.com/players/a/aguaylu01.shtml"">Luis Aguayo</a>",PHI,21,50,47,7,13,1,21,8,2,1,3,.277,.300,.447,.747,.327,0.00
"<a href=""https://www.baseball-reference.com/players/a/aikenwi01.shtml"">W. Aikens</a>",KCA,25,623,543,70,151,20,235,98,64,1,88,.278,.356,.433,.789,.354,1.54
"<a href=""https://www.baseball-reference.com/players/a/aingeda01.shtml"">Danny Ainge</a>",TOR,21,115,111,11,27,0,35,4,2,3,29,.243,.263,.315,.578,.261,-0.32
"<a href=""https://www.baseball-reference.com/players/a/alexado01.shtml"">D. Alexander</a>",ATL,29,89,83,7,15,0,18,3,3,0,24,.181,.209,.217,.426,.197,0.00
"<a href=""https://www.baseball-reference.com/players/a/alexaga01.shtml"">G. Alexander</a>",CLE,27,198,178,22,40,5,64,31,17,0,52,.225,.288,.360,.647,.291,-0.64
"<a href=""https://www.baseball-reference.com/players/a/alexama01.shtml"">M. Alexander</a>",PIT,33,3,3,13,1,0,2,0,0,10,0,.333,.333,.667,1.000,.433,0.33
"<a href=""https://www.baseball-reference.com/players/a/allenga01.shtml"">G. Allenson</a>",BOS,25,85,70,9,25,0,31,10,13,2,11,.357,.452,.443,.895,.408,0.89
"<a href=""https://www.baseball-reference.com/players/a/allenki01.shtml"">Kim Allen</a>",SEA,27,62,51,9,12,0,15,3,8,10,3,.235,.350,.294,.644,.294,0.21
"<a href=""https://www.baseball-reference.com/players/a/allenne01.shtml"">Neil Allen</a>",NYN,22,16,14,0,2,0,2,0,1,0,7,.143,.200,.143,.343,.168,-0.02
"<a href=""https://www.baseball-reference.com/players/a/almonbi01.shtml"">Bill Almon</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotealmonbi01"" style=""display:none;""></input><label for=""footnotealmonbi01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivalmonbi01"">MON, NYN</div></span>",27,160,150,15,29,0,39,7,9,2,32,.193,.238,.260,.498,.218,0.00
"<a href=""https://www.baseball-reference.com/players/a/alstode01.shtml"">Dell Alston</a>",CLE,27,64,54,11,12,0,17,9,5,2,7,.222,.302,.315,.616,.269,-0.45
"<a href=""https://www.baseball-reference.com/players/a/anderji01.shtml"">Jim Anderson</a>",SEA,23,355,317,46,72,8,103,30,27,2,39,.227,.292,.325,.617,.283,0.24
"<a href=""https://www.baseball-reference.com/players/a/andujjo01.shtml"">J. Andujar</a>",HOU,27,37,29,3,5,1,10,3,3,0,16,.172,.250,.345,.595,.270,0.21
"<a href=""https://www.baseball-reference.com/players/a/armasto01.shtml"">Tony Armas</a>",OAK,26,666,628,87,175,35,314,109,29,5,128,.279,.310,.500,.810,.355,5.91
"<a href=""https://www.baseball-reference.com/players/a/armstmi01.shtml"">M. Armstrong</a>",SDN,26,3,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,.000,-0.05
"<a href=""https://www.baseball-reference.com/players/a/ashbyal01.shtml"">Alan Ashby</a>",HOU,28,394,352,30,90,3,122,48,35,0,40,.256,.319,.347,.665,.291,0.55
"<a href=""https://www.baseball-reference.com/players/a/ashfotu01.shtml"">T. Ashford</a>",TEX,25,35,32,2,4,0,4,3,3,0,3,.125,.200,.125,.325,.165,-0.35
"<a href=""https://www.baseball-reference.com/players/a/asselbr01.shtml"">B. Asselstine</a>",ATL,26,235,218,18,62,3,86,25,11,1,37,.284,.318,.394,.712,.314,-0.48
"<a href=""https://www.baseball-reference.com/players/a/auerbri01.shtml"">R. Auerbach</a>",CIN,30,37,33,5,11,1,17,4,3,0,5,.333,.389,.515,.904,.402,0.24
"<a href=""https://www.baseball-reference.com/players/a/aultdo01.shtml"">Doug Ault</a>",TOR,30,161,144,12,28,3,44,15,14,0,23,.194,.273,.306,.579,.268,-0.39
"<a href=""https://www.baseball-reference.com/players/a/avilera01.shtml"">Ramon Aviles</a>",PHI,28,115,101,12,28,2,40,9,10,0,9,.277,.336,.396,.732,.324,-0.08
"<a href=""https://www.baseball-reference.com/players/a/ayalabe01.shtml"">Benny Ayala</a>",BAL,29,191,170,28,45,10,85,33,19,0,21,.265,.335,.500,.835,.364,0.44
"<a href=""https://www.baseball-reference.com/players/b/backmwa01.shtml"">W. Backman</a>",NYN,20,110,93,12,30,0,33,9,11,2,14,.323,.396,.355,.751,.345,0.00
"<a href=""https://www.baseball-reference.com/players/b/bahnsst01.shtml"">Stan Bahnsen</a>",MON,35,13,9,1,1,0,2,0,4,0,3,.111,.385,.222,.607,.318,0.00
"<a href=""https://www.baseball-reference.com/players/b/bailobo01.shtml"">Bob Bailor</a>",TOR,28,388,347,44,82,1,103,16,36,12,33,.236,.311,.297,.608,.281,0.39
"<a href=""https://www.baseball-reference.com/players/b/baineha01.shtml"">H. Baines</a>",CHA,21,518,491,55,125,13,199,49,19,2,65,.255,.281,.405,.686,.299,0.00
"<a href=""https://www.baseball-reference.com/players/b/bairdo01.shtml"">Doug Bair</a>",CIN,30,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,0.00
"<a href=""https://www.baseball-reference.com/players/b/bakerch02.shtml"">Chuck Baker</a>",SDN,27,22,22,0,3,0,4,0,0,0,4,.136,.136,.182,.318,.142,0.04
"<a href=""https://www.baseball-reference.com/players/b/bakerdu01.shtml"">Dusty Baker</a>",LAN,31,638,579,80,170,29,291,97,43,12,66,.294,.339,.503,.842,.368,4.56
"<a href=""https://www.baseball-reference.com/players/b/bandosa01.shtml"">Sal Bando</a>",ML4,36,291,254,28,50,5,79,31,29,5,35,.197,.278,.311,.589,.269,-0.65
"<a href=""https://www.baseball-reference.com/players/b/bannial01.shtml"">A. Bannister</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotebannial01"" style=""display:none;""></input><label for=""footnotebannial01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivbannial01"">CHA, CLE</div></span>",28,443,392,57,111,1,145,41,40,14,41,.283,.346,.370,.715,.320,1.25
"<a href=""https://www.baseball-reference.com/players/b/bassra01.shtml"">Randy Bass</a>",SDN,26,57,49,5,14,3,25,8,7,0,7,.286,.386,.510,.896,.395,0.24
"<a href=""https://www.baseball-reference.com/players/b/baylodo01.shtml"">Don Baylor</a>",CAL,31,380,340,39,85,5,116,51,24,6,32,.250,.316,.341,.657,.298,-1.45
"<a href=""https://www.baseball-reference.com/players/b/beallbo01.shtml"">Bob Beall</a>",PIT,32,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-0.06
"<a href=""https://www.baseball-reference.com/players/b/beckwjo01.shtml"">Joe Beckwith</a>",LAN,25,3,2,0,0,0,0,0,1,0,1,.000,.333,.000,.333,.236,0.02
"<a href=""https://www.baseball-reference.com/players/b/belanma01.shtml"">M. Belanger</a>",BAL,36,291,268,37,61,0,74,22,12,6,25,.228,.261,.276,.537,.246,0.45
"<a href=""https://www.baseball-reference.com/players/b/bellbu01.shtml"">Buddy Bell</a>",TEX,28,534,490,76,161,17,244,83,40,3,39,.329,.379,.498,.877,.386,0.00
"<a href=""https://www.baseball-reference.com/players/b/bellke01.shtml"">Kevin Bell</a>",CHA,24,224,191,16,34,1,46,11,29,0,37,.178,.284,.241,.525,.251,-0.54
"<a href=""https://www.baseball-reference.com/players/b/benchjo01.shtml"">Johnny Bench</a>",CIN,32,407,360,52,90,24,174,68,41,4,64,.250,.327,.483,.810,.358,3.35
"<a href=""https://www.baseball-reference.com/players/b/benedbr01.shtml"">B. Benedict</a>",ATL,24,402,359,18,91,2,113,34,28,3,36,.253,.308,.315,.623,.279,0.88
"<a href=""https://www.baseball-reference.com/players/b/beniqju01.shtml"">J. Beniquez</a>",SEA,30,258,237,26,54,6,82,21,17,2,25,.228,.278,.346,.624,.284,-0.39
"<a href=""https://www.baseball-reference.com/players/b/bentobu01.shtml"">Butch Benton</a>",NYN,22,24,21,0,1,0,1,0,2,0,4,.048,.167,.048,.214,.128,-0.44
"<a href=""https://www.baseball-reference.com/players/b/berenbr01.shtml"">B. Berenyi</a>",CIN,25,11,7,1,0,0,0,0,0,0,2,.000,.000,.000,.000,.000,-0.15
"<a href=""https://www.baseball-reference.com/players/b/bergmda01.shtml"">Dave Bergman</a>",HOU,27,91,78,12,20,0,28,3,10,1,10,.256,.341,.359,.700,.313,0.55
"<a href=""https://www.baseball-reference.com/players/b/bernato01.shtml"">T. Bernazard</a>",MON,23,202,183,26,41,5,65,18,17,9,41,.224,.289,.355,.644,.285,-0.05
"<a href=""https://www.baseball-reference.com/players/b/berrada01.shtml"">Dale Berra</a>",PIT,23,268,245,21,54,6,84,31,16,2,52,.220,.269,.343,.612,.267,-0.01
