Name,Tm,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/a/allisdo01.shtml"">Doug Allison</a>",PRO,31,15,0,0,0,11,5,1,0,1,0,1.800,3.044,2.400,0.00,-0.16
"<a href=""https://www.baseball-reference.com/players/b/bondto01.shtml"">Tommy Bond</a>",BSN,22,1598,40,19,0,571,222,122,5,33,182,2.061,2.150,1.134,5.52,13.89
"<a href=""https://www.baseball-reference.com/players/b/brownle01.shtml"">Lew Brown</a>",PRO,20,3,0,0,0,0,4,2,0,4,0,18.000,15.239,4.000,0.00,-0.25
"<a href=""https://www.baseball-reference.com/players/c/coreyfr01.shtml"">Fred Corey</a>",PRO,?,69,1,2,0,22,10,6,0,7,7,2.348,2.862,1.261,1.00,0.37
"<a href=""https://www.baseball-reference.com/players/e/ellicjo01.shtml"">Joe Ellick</a>",ML2,24,9,0,1,0,1,1,1,0,1,0,3.000,3.806,.667,0.00,0.15
"<a href=""https://www.baseball-reference.com/players/f/fishech01.shtml"">C. Fisher</a>",PRO,33,27,0,1,0,14,12,4,0,0,2,4.000,2.174,1.556,&infin;,-0.32
"<a href=""https://www.baseball-reference.com/players/g/goldemi01.shtml"">Mike Golden</a>",ML2,26,483,3,13,0,217,171,74,1,33,52,4.137,2.581,1.553,1.58,-2.95
"<a href=""https://www.baseball-reference.com/players/h/hankifr01.shtml"">F. Hankinson</a>",CHN,22,27,0,1,0,11,9,6,0,0,4,6.000,1.703,1.222,&infin;,-0.21
"<a href=""https://www.baseball-reference.com/players/h/healeto01.shtml"">Tom Healey</a>","<span style=""white-space:nowrap""><input type=""checkbox"" class=""footnote"" id=""footnotehealeto01"" style=""display:none;""></input><label for=""footnotehealeto01"" class=""footnoteLabel"">2</label><div class=""footnoteDiv"" id=""footnoteDivhealeto01"">PRO, IN1</div></span>",?,339,6,7,1,125,67,30,2,20,20,2.389,2.954,1.283,1.00,-0.23
"<a href=""https://www.baseball-reference.com/players/l/larkite01.shtml"">Terry Larkin</a>",CHN,?,1518,29,26,0,511,288,126,4,31,163,2.241,2.177,1.071,5.26,4.06
"<a href=""https://www.baseball-reference.com/players/m/mannija01.shtml"">Jack Manning</a>",BSN,24,34,1,0,0,24,19,18,1,5,2,14.294,4.207,2.559,0.40,-0.77
"<a href=""https://www.baseball-reference.com/players/m/mccorji01.shtml"">J. McCormick</a>",IN1,21,351,5,8,0,128,47,22,0,15,36,1.692,2.303,1.222,2.40,0.00
"<a href=""https://www.baseball-reference.com/players/m/mckelru01.shtml"">Russ McKelvy</a>",IN1,23,75,0,2,0,38,23,6,1,3,3,2.160,3.109,1.640,1.00,-0.62
"<a href=""https://www.baseball-reference.com/players/m/mitchbo01.shtml"">B. Mitchell</a>",CN1,22,240,7,2,0,69,32,19,1,18,51,2.137,2.087,1.088,2.83,1.47
"<a href=""https://www.baseball-reference.com/players/n/nichotr01.shtml"">T. Nichols</a>",PRO,27,294,4,7,0,157,98,46,0,8,21,4.224,2.372,1.684,2.62,-2.55
"<a href=""https://www.baseball-reference.com/players/n/nolanth01.shtml"">T. Nolan</a>",IN1,22,1041,13,22,0,357,208,99,1,56,125,2.568,2.336,1.190,2.23,-0.13
"<a href=""https://www.baseball-reference.com/players/r/reisla01.shtml"">Laurie Reis</a>",CHN,19,108,1,3,0,55,34,13,0,4,8,3.250,2.435,1.639,2.00,-0.73
"<a href=""https://www.baseball-reference.com/players/w/wardjo01.shtml"">John Ward</a>",PRO,18,1002,22,13,0,308,151,56,3,34,116,1.509,2.256,1.024,3.41,4.62
"<a href=""https://www.baseball-reference.com/players/w/weavesa01.shtml"">Sam Weaver</a>",ML2,22,1149,12,31,0,371,214,83,2,21,95,1.950,2.270,1.023,4.52,10.40
"<a href=""https://www.baseball-reference.com/players/w/wheelha01.shtml"">H. Wheeler</a>",PRO,20,186,6,1,0,70,40,24,1,25,25,3.484,3.145,1.532,1.00,0.00
"<a href=""https://www.baseball-reference.com/players/w/whitewi01.shtml"">Will White</a>",CN1,23,1404,30,21,0,477,249,93,1,45,169,1.788,2.126,1.115,3.76,2.07
